Time (h),Air temperature1 (degC)
1,7.3
2,5.8
3,6.2
4,6.6
5,6.7
6,7
7,7.1
8,7.7
9,8.2
10,8.7
11,9.6
12,10.1
13,11
14,11
15,11.1
16,10.2
17,7.5
18,7
19,7.6
20,8.3
21,6.4
22,6.6
23,7.3
24,6.9
25,4.5
26,3.5
27,2.6
28,2.1
29,0.9
30
31,2
32,6.8
33,7.4
34,8.6
35,7.8
36,8.5
37,8.4
38,9.7
39,9.6
40,8.5
41,4.8
42,3.6
43,3.2
44,2.7
45,2.7
46,2.3
47,1.8
48,2.5
49,4.3
50,4.1
51,4.4
52,4.2
53,4
54,3.4
55,3.4
56,4.8
57,4.8
58,6.2
59,8.5
60,7.8
61,7.5
62,7.6
63,7.3
64,6.7
65,6.1
66,5.8
67,4.4
68,3.4
69,3.6
70,4.3
71,4.6
72,4.2
73,3.9
74,3.9
75,3.1
76,2.1
77,2.1
78,2
79,2.4
80,3.2
81,3.7
82,3.7
83,3.6
84,3.7
85,3.8
86,3.7
87,3.9
88,4
89,3.9
90,3.4
91,1.1
92,-1
93,-1.7
94,-1.6
95,-0.2
96,1
97,0.9
98,1.1
99,1.7
100,2.8
101,3.1
102,4.2
103,5.4
104,6.6
105,8.1
106,9.7
107,10.6
108,9.5
109,9.7
110,10.4
111,1
112,8.9
113,7.4
114,6
115,5.3
116,5.1
117,3.1
118,5.1
119,4.9
120,4.7
121,1.7
122,3.7
123,4.5
124,4.9
125,4.9
126,5.1
127,6.2
128,6.8
129,7.4
130,8.6
131,9.2
132,10.4
133,10.4
134,1
135,9.5
136,8.6
137,7.6
138,6.9
139,6.3
140,3.9
141,2.3
142,1.7
143,1.3
144,1
145,0.8
146,0.6
147,0.7
148,0.3
149,0.1
150,0.2
151,0.7
152,2.2
153,4.7
154,5.2
155,5.6
156,7.1
157,7.8
158,7
159,7
160,4.5
161,1.9
162,0.2
163,-0.8
164,-1.6
165,-1.7
166,-2.5
167,-3.1
168,-3.8
169,-4
170,-4.1
171,-4.1
172,-4
173,-3.3
174,-0.8
175
176,1.8
177,2.9
178,4.5
179,6
180,7.3
181,8
182,8.4
183,8.4
184,7.7
185,7
186,7.2
187,7.4
188,7.9
189,8.1
190,8.3
191,8.4
192,8.6
193,8.9
194,9
195,9.2
196,9.3
197,9.4
198,9.5
199,9.6
200,9.9
201,1
202,10.3
203,10.7
204,10.9
205,11.2
206,11.2
207,11.1
208,11.1
209,11
210,10.8
211,11
212,11.3
213,11.3
214,11.5
215,11.6
216,11.6
217,11.6
218,11.6
219,11.6
220,11.7
221,11.9
222,11.7
223,11.7
224,11.5
225,11.7
226,12.4
227,13
228,13.4
229,14.1
230,13.3
231,13.4
232,12.3
233,9
234,9.2
235,6.5
236,4.2
237,3.4
238,2.4
239,2.3
240,2.1
241,1.6
242,1.3
243,1.1
244,0.9
245,0.9
246,1.4
247,3.2
248,6.8
249,8
250,8.7
251,9.2
252,9.9
253,10.4
254,10.8
255,11
256,11
257,11
258,10.8
259,10.8
260,10.4
261,10.1
262,1
263,9.9
264,9.7
265,9.5
266,9.4
267,9.4
268,9.3
269,9.1
270,9.2
271,9.6
272,10.2
273,10.9
274,12.6
275,13.9
276,15.1
277,16
278,15.2
279,15.4
280,13.1
281,11.2
282,10.3
283,10.4
284,10.6
285,10.1
286,8.3
287,8.5
288,9.7
289,1
290,10.3
291,10.7
292,10.7
293,10.5
294,10.4
295,10.4
296,10.7
297,11.6
298,12.1
299,12.7
300,13.4
301,14.3
302,14.6
303,14.6
304,14.1
305,13.7
306,13.8
307,13.7
308,13.9
309,13.6
310,12.9
311,12.5
312,12
313,12.1
314,11.5
315,10.4
316,10.9
317,10.2
318,10.6
319,10.7
320,13.3
321,15.1
322,16.6
323,18
324,18.8
325,19.3
326,18.7
327,17.6
328,16.5
329,14.9
330,13.8
331,13.1
332,12.1
333,11.9
334,11.5
335,11.3
336,12
337,12
338,11.9
339,11.3
340,11.6
341,11.4
342,11.2
343,11
344,11.9
345,12.9
346,14.3
347,15.5
348,16.5
349,17.3
350,17
351,16.4
352,15.4
353,14.2
354,13.2
355,12.1
356,11.5
357,10.8
358,10.1
359,9.9
360,9.9
361,8.7
362,7.2
363,7.4
364,9.6
365,9.9
366,9.9
367,9.8
368,9.9
369,10.1
370,10.7
371,11.5
372,11.6
373,10.9
374,10.5
375,10.4
376,8.6
377,6.6
378,5.8
379,4.4
