Time (h),Temperature1 (degC), Temperature2 (degC), Temperature3 (degC), Temperature4 (degC), Temperature5 (degC), Temperature6 (degC), Temperature7 (degC), Temperature8 (degC), Temperature9 (degC), Temperature10 (degC), Temperature11 (degC), Temperature12 (degC), Temperature13 (degC), 
0,7.999999995336964,7.999999988124046,7.99999978981424,7.999999860738512,7.999999606466474,7.999994429062667,7.999999909348617,7.99999991858698,7.999955446914498,7.999999645486639,7.999999978833216,7.999999990070592,7.999999994776715,7.999999997505881
1,8.06752939333063,8.127063755743393,8.380472211487188,8.206301701844495,8.332952305471963,8.316273284937779,8.057077080619308,8.039782331596768,10.132010687132663,8.457696874644455,8.53498143387634,8.686491844307568,8.094945133299177,8.130586015404788
2,8.352730919566909,8.625865869027166,9.082087871245278,8.615018975118346,8.962528606806075,8.827257934995203,8.282747510505772,8.197624690988164,11.582916678992206,9.237870030949125,9.456618794287067,9.711186897192079,8.448014849767844,8.632979047456843
3,8.746482376347956,9.262034188471773,9.727626569727818,9.016750305535481,9.553044577507421,9.28703964602596,8.588726137422668,8.426079998057162,12.89206857195046,9.907728501508416,10.239074224381227,10.545457869142467,8.899674542840444,9.260334282819144
4,9.094534852133052,9.773754497317896,10.261745532720226,9.374402789608382,10.053150797895,9.676835264859562,8.868098281202833,8.64748666710608,13.775504860475962,10.459939273414818,10.872955286622528,11.211382321889857,9.29364172849364,9.765537874984375
5,9.403793928858306,10.179832158732154,10.701281418195038,9.694637190409765,10.476509102981481,10.007220403545205,9.12488445270509,8.862909819201434,14.297555512629685,10.912280113369832,11.380713082730324,11.734399130802615,9.638634332781862,10.167048182592907
6,9.71305300558356,10.585909820146355,11.140817303669849,10.01487159121109,10.899867408067962,10.33760554223079,9.381670624207288,9.078332971296788,14.819606164783409,11.364620953324788,11.88847087883812,12.257415939715315,9.983626937070085,10.56855849020144
7,10.022312082308815,10.991987481560557,11.58035318914466,10.335105992012473,11.3232257131545,10.667990680916432,9.638456795709487,9.2937561233922,15.341656816937132,11.816961793279802,12.396228674945974,12.780432748628016,10.328619541358307,10.970068797809972
8,10.224829662146647,11.217388821153861,11.863685762181717,10.569026526670655,11.598604573916703,10.89979183476089,9.824108735456036,9.459413367190507,15.649103070609272,12.111378640193436,12.714683613091722,13.093952784670535,10.548806801761657,11.198910970989687
9,10.4240624326996,11.4372301182446,12.142211412831728,10.800290881706246,11.86942958948407,11.128559214504435,10.007571626034746,9.623539139888862,15.949945196165686,12.400935613358058,13.027313040038848,13.40102587210589,10.765153365113235,11.422439541608867
